Title,Artist,Genre,Mood,Year,Notes
Don't Stop Believin',Journey,Rock,Upbeat,1981,Classic crowd favorite
Sweet Caroline,Neil Diamond,Pop,Feel Good,1969,Great singalong
Mr. Brightside,The Killers,Alternative Rock,Energetic,2003,Modern classic
Bohemian Rhapsody,Queen,Rock,Epic,1975,Show stopper
Piano Man,Billy Joel,Pop,Nostalgic,1973,Perfect for piano bars
Livin' on a Prayer,Bon Jovi,Rock,Upbeat,1986,High energy
I Want It That Way,Backstreet Boys,Pop,Romantic,1999,Boy band classic
Wonderwall,Oasis,Alternative Rock,Mellow,1995,Acoustic favorite
Hey Jude,The Beatles,Pop,Feel Good,1968,Beatles classic
Free Bird,Lynyrd Skynyrd,Rock,Epic,1974,Guitar solo heaven
Hotel California,Eagles,Rock,Mellow,1976,Storytelling song
Thunder,Imagine Dragons,Pop,Energetic,2017,Modern hit
Uptown Funk,Mark Ronson ft. Bruno Mars,Funk,Upbeat,2014,Dance floor filler
Shape of You,Ed Sheeran,Pop,Feel Good,2017,Sing-along hit
Blinding Lights,The Weeknd,Pop,Energetic,2019,Recent favorite
Old Town Road,Lil Nas X,Country,Fun,2019,Cross-genre hit
Shallow,Lady Gaga & Bradley Cooper,Pop,Romantic,2018,Duet favorite
Someone Like You,Adele,Pop,Emotional,2011,Slow ballad
Thinking Out Loud,Ed Sheeran,Pop,Romantic,2014,Wedding favorite
Can't Help Myself,Four Tops,Soul,Feel Good,1965,Motown classic
I Will Survive,Gloria Gaynor,Disco,Empowering,1978,Anthem song
Dancing Queen,ABBA,Disco,Fun,1976,Party starter
Shake It Off,Taylor Swift,Pop,Fun,2014,Feel-good anthem
Roar,Katy Perry,Pop,Empowering,2013,Confidence booster
Happy,Pharrell Williams,Pop,Feel Good,2013,Ultimate feel-good song
All of Me,John Legend,R&B,Romantic,2013,Love ballad
Perfect,Ed Sheeran,Pop,Romantic,2017,Modern wedding song
Despacito,Luis Fonsi ft. Daddy Yankee,Latin,Fun,2017,Global hit
Havana,Camila Cabello,Latin Pop,Fun,2017,Latin influence
Bad Guy,Billie Eilish,Pop,Edgy,2019,Dark pop hit
Sunflower,Post Malone & Swae Lee,Hip-Hop,Feel Good,2018,Chill vibe
Circles,Post Malone,Pop,Mellow,2019,Easy listening
Watermelon Sugar,Harry Styles,Pop,Feel Good,2020,Summer vibes
Levitating,Dua Lipa,Pop,Upbeat,2020,Dance track
Good 4 U,Olivia Rodrigo,Pop,Energetic,2021,Pop-punk revival
Stay,The Kid LAROI & Justin Bieber,Pop,Catchy,2021,Modern hit
Heat Waves,Glass Animals,Alternative,Dreamy,2020,Indie crossover
Industry Baby,Lil Nas X & Jack Harlow,Hip-Hop,Confident,2021,High energy
Peaches,Justin Bieber,Pop,Smooth,2021,Chill pop
Drivers License,Olivia Rodrigo,Pop,Emotional,2021,Breakup ballad
As It Was,Harry Styles,Pop,Nostalgic,2022,Indie pop hit
About Damn Time,Lizzo,Pop,Empowering,2022,Self-love anthem
Anti-Hero,Taylor Swift,Pop,Introspective,2022,Personal favorite
Unholy,Sam Smith ft. Kim Petras,Pop,Dark,2022,Edgy collaboration
Flowers,Miley Cyrus,Pop,Empowering,2023,Independence anthem
Vampire,Olivia Rodrigo,Pop,Emotional,2023,Gothic ballad
Seven,Jung Kook,K-Pop,Romantic,2023,Global K-pop hit
Paint The Town Red,Doja Cat,Hip-Hop,Confident,2023,Rap-pop fusion
Cruel Summer,Taylor Swift,Pop,Nostalgic,2019,Fan favorite
Golden,Harry Styles,Pop,Dreamy,2020,Ethereal track
Positions,Ariana Grande,Pop,Smooth,2020,R&B influenced
Therefore I Am,Billie Eilish,Pop,Dark,2020,Minimalist pop
34+35,Ariana Grande,Pop,Playful,2020,Upbeat track
